Scheduled Arrival Time,minutes_early,line_ref,direction_ref,stop_point_ref,time,late bin,line_encoded,direction_encoded,stop_encoded,time_encoded,late_class
2019-07-23 18:36:20-07:00,-8.766666666666667,N,Outbound,15211,18.6,5-10 min late,5,1,172,186,2
2019-07-23 18:37:39-07:00,-7.633333333333334,M,Inbound,15730,18.6,5-10 min late,4,0,320,186,2
2019-07-23 18:38:27-07:00,-9.616666666666667,38,Outbound,14273,18.6,5-10 min late,2,1,79,186,2
2019-07-23 18:48:20-07:00,0.26666666666666666,38,Outbound,15689,18.8,ontime or early,2,1,311,188,4
2019-07-23 18:41:13-07:00,-6.866666666666666,14,Outbound,15529,18.7,5-10 min late,0,1,211,187,2
2019-07-23 18:46:05-07:00,-2.0,2,Inbound,13853,18.8,0-5 min late,1,0,38,188,3
2019-07-23 18:50:00-07:00,1.8666666666666667,14,Inbound,15571,18.8,ontime or early,0,0,243,188,4
2019-07-23 18:39:01-07:00,-9.166666666666666,2,Outbound,16595,18.6,5-10 min late,1,1,402,186,2
2019-07-23 18:47:59-07:00,-0.21666666666666667,14,Inbound,15628,18.8,0-5 min late,0,0,290,188,3
2019-07-23 18:48:03-07:00,-0.15,14,Inbound,17945,18.8,0-5 min late,0,0,455,188,3
2019-07-23 18:48:23-07:00,0.16666666666666666,7,Inbound,15648,18.8,ontime or early,3,0,297,188,4
2019-07-23 18:47:39-07:00,-0.6,M,Inbound,15730,18.8,0-5 min late,4,0,320,188,3
2019-07-23 18:43:21-07:00,-4.9,N,Inbound,15208,18.7,0-5 min late,5,0,169,187,3
2019-07-23 18:49:40-07:00,1.3666666666666667,2,Outbound,14042,18.8,ontime or early,1,1,54,188,4
2019-07-23 18:44:00-07:00,-4.366666666666666,N,Outbound,13912,18.7,0-5 min late,5,1,47,187,3
2019-07-23 18:47:23-07:00,-1.0166666666666666,14,Outbound,15580,18.8,0-5 min late,0,1,251,188,3
2019-07-23 18:49:41-07:00,1.2833333333333334,38,Inbound,16425,18.8,ontime or early,2,0,385,188,4
2019-07-23 18:45:55-07:00,-2.5,7,Inbound,15301,18.8,0-5 min late,3,0,193,188,3
2019-07-23 18:50:18-07:00,1.8833333333333333,7,Outbound,15678,18.8,ontime or early,3,1,308,188,4
2019-07-23 18:51:05-07:00,2.6,38,Inbound,14268,18.8,ontime or early,2,0,74,188,4
2019-07-23 18:47:12-07:00,-1.35,14,Outbound,15528,18.8,0-5 min late,0,1,210,188,3
2019-07-23 18:51:10-07:00,2.6,38,Outbound,14261,18.8,ontime or early,2,1,67,188,4
2019-07-23 18:42:20-07:00,-6.266666666666667,N,Outbound,15211,18.7,5-10 min late,5,1,172,187,2
2019-07-23 18:44:15-07:00,-4.383333333333334,7,Outbound,14718,18.7,0-5 min late,3,1,111,187,3
2019-07-23 18:46:00-07:00,-2.65,N,Inbound,15216,18.8,0-5 min late,5,0,177,188,3
2019-07-23 18:53:00-07:00,4.316666666666666,38,Inbound,17954,18.9,ontime or early,2,0,457,189,4
2019-07-23 18:44:27-07:00,-4.266666666666667,2,Outbound,16098,18.7,0-5 min late,1,1,361,187,3
2019-07-23 18:45:55-07:00,-2.8666666666666667,7,Outbound,15656,18.8,0-5 min late,3,1,302,188,3
2019-07-23 18:14:02-07:00,-34.85,N,Inbound,15197,18.2,more than 20 min late,5,0,158,182,0
2019-07-23 18:43:00-07:00,-5.933333333333334,2,Inbound,16024,18.7,5-10 min late,1,0,359,187,2
2019-07-23 18:44:56-07:00,-4.083333333333333,N,Outbound,15209,18.7,0-5 min late,5,1,170,187,3
2019-07-23 18:48:09-07:00,-0.9166666666666666,7,Inbound,14953,18.8,0-5 min late,3,0,138,188,3
2019-07-23 18:44:23-07:00,-4.733333333333333,M,Outbound,16259,18.7,0-5 min late,4,1,379,187,3
2019-07-23 18:47:20-07:00,-2.0833333333333335,2,Inbound,13897,18.8,0-5 min late,1,0,44,188,3
2019-07-23 18:51:00-07:00,1.1166666666666667,M,Outbound,13358,18.8,ontime or early,4,1,2,188,4
2019-07-23 18:45:19-07:00,-4.583333333333333,M,Outbound,16266,18.8,0-5 min late,4,1,382,188,3
2019-07-23 18:52:00-07:00,-0.06666666666666667,14,Outbound,15602,18.9,0-5 min late,0,1,271,189,3
2019-07-23 18:56:11-07:00,4.1,7,Outbound,15761,18.9,ontime or early,3,1,338,189,4
2019-07-23 18:47:32-07:00,-4.566666666666666,7,Outbound,15296,18.8,0-5 min late,3,1,188,188,3
2019-07-23 18:54:20-07:00,2.216666666666667,2,Outbound,16611,18.9,ontime or early,1,1,418,189,4
2019-07-23 18:43:31-07:00,-8.616666666666667,38,Outbound,13566,18.7,5-10 min late,2,1,26,187,2
2019-07-23 18:48:51-07:00,-3.3333333333333335,7,Outbound,14940,18.8,0-5 min late,3,1,129,188,3
2019-07-23 18:51:29-07:00,-0.7166666666666667,14,Inbound,15547,18.8,0-5 min late,0,0,229,188,3
2019-07-23 18:45:43-07:00,-6.516666666666667,2,Inbound,16126,18.8,5-10 min late,1,0,365,188,2
2019-07-23 18:54:08-07:00,1.85,14,Outbound,15614,18.9,ontime or early,0,1,279,189,4
2019-07-23 18:42:03-07:00,-10.266666666666667,2,Outbound,16597,18.7,10-20 min late,1,1,404,187,1
2019-07-23 18:47:38-07:00,-4.683333333333334,M,Outbound,13387,18.8,0-5 min late,4,1,6,188,3
2019-07-23 18:52:17-07:00,-0.05,2,Outbound,16587,18.9,0-5 min late,1,1,394,189,3
2019-07-23 18:46:00-07:00,-6.366666666666666,N,Outbound,17219,18.8,5-10 min late,5,1,442,188,2
2019-07-23 18:55:34-07:00,3.183333333333333,38,Outbound,14289,18.9,ontime or early,2,1,91,189,4
2019-07-23 18:50:00-07:00,-2.45,2,Inbound,13893,18.8,0-5 min late,1,0,42,188,3
2019-07-23 18:48:29-07:00,-3.9833333333333334,N,Outbound,15213,18.8,0-5 min late,5,1,174,188,3
2019-07-23 18:55:40-07:00,3.1666666666666665,14,Inbound,17945,18.9,ontime or early,0,0,455,189,4
2019-07-23 18:48:03-07:00,-4.45,N,Outbound,15121,18.8,0-5 min late,5,1,150,188,3
2019-07-23 18:56:41-07:00,4.166666666666667,38,Inbound,16425,18.9,ontime or early,2,0,385,189,4
2019-07-23 18:52:00-07:00,-0.5666666666666667,14,Inbound,15593,18.9,0-5 min late,0,0,262,189,3
2019-07-23 18:38:00-07:00,-14.566666666666666,M,Outbound,16991,18.6,10-20 min late,4,1,424,186,1
2019-07-23 18:51:48-07:00,-0.7833333333333333,38,Outbound,14762,18.8,0-5 min late,2,1,121,188,3
2019-07-23 18:51:39-07:00,-0.95,7,Inbound,13089,18.8,0-5 min late,3,0,0,188,3
2019-07-23 18:53:45-07:00,1.1333333333333333,14,Outbound,15554,18.9,ontime or early,0,1,234,189,4
2019-07-23 18:48:00-07:00,-4.65,N,Inbound,15200,18.8,0-5 min late,5,0,161,188,3
2019-07-23 18:50:41-07:00,-2.05,7,Inbound,16478,18.8,0-5 min late,3,0,387,188,3
2019-07-23 18:53:01-07:00,0.2833333333333333,M,Inbound,13715,18.9,ontime or early,4,0,31,189,4
2019-07-23 18:54:56-07:00,2.066666666666667,38,Inbound,14763,18.9,ontime or early,2,0,122,189,4
2019-07-23 18:55:51-07:00,2.95,38,Inbound,14262,18.9,ontime or early,2,0,68,189,4
2019-07-23 18:49:00-07:00,-3.9166666666666665,N,Inbound,15225,18.8,0-5 min late,5,0,182,188,3
2019-07-23 18:53:00-07:00,0.06666666666666667,N,Inbound,15216,18.9,ontime or early,5,0,177,189,4
2019-07-23 18:53:00-07:00,-0.15,7,Inbound,15642,18.9,0-5 min late,3,0,294,189,3
2019-07-23 18:46:36-07:00,-6.616666666666666,2,Inbound,16017,18.8,5-10 min late,1,0,352,188,2
2019-07-23 18:48:38-07:00,-4.7,M,Outbound,16173,18.8,0-5 min late,4,1,369,188,3
2019-07-23 19:20:31-07:00,0.4666666666666667,38,Inbound,14291,19.3,ontime or early,2,0,93,193,4
2019-07-23 19:20:31-07:00,0.4666666666666667,38,Inbound,14291,19.3,ontime or early,2,0,93,193,4
2019-07-23 19:18:00-07:00,0.0,2,Inbound,17543,19.3,0-5 min late,1,0,449,193,3
2019-07-23 19:17:24-07:00,-2.7333333333333334,7,Outbound,15759,19.3,0-5 min late,3,1,337,193,3
2019-07-23 19:18:11-07:00,-1.95,M,Inbound,13717,19.3,0-5 min late,4,0,33,193,3
2019-07-23 19:04:00-07:00,-16.166666666666668,N,Inbound,15239,19.1,10-20 min late,5,0,185,191,1
2019-07-23 19:15:00-07:00,-5.233333333333333,N,Inbound,14509,19.2,5-10 min late,5,0,108,192,2
2019-07-23 19:14:52-07:00,-5.383333333333334,14,Outbound,15627,19.2,5-10 min late,0,1,289,192,2
2019-07-23 19:17:00-07:00,-3.25,2,Outbound,16606,19.3,0-5 min late,1,1,413,193,3
2019-07-23 19:21:48-07:00,1.5333333333333334,38,Outbound,14271,19.4,ontime or early,2,1,77,194,4
2019-07-23 19:18:00-07:00,-2.3,38,Outbound,14725,19.3,0-5 min late,2,1,114,193,3
2019-07-23 19:20:38-07:00,0.3333333333333333,N,Inbound,17318,19.3,ontime or early,5,0,447,193,4
2019-07-23 19:10:17-07:00,-10.083333333333334,7,Outbound,15298,19.2,10-20 min late,3,1,190,192,1
2019-07-23 19:20:00-07:00,-0.38333333333333336,38,Inbound,14279,19.3,0-5 min late,2,0,83,193,3
2019-07-23 19:22:52-07:00,2.466666666666667,14,Outbound,15627,19.4,ontime or early,0,1,289,194,4
2019-07-23 19:13:39-07:00,-6.75,14,Outbound,15584,19.2,5-10 min late,0,1,254,192,2
2019-07-23 19:23:58-07:00,3.55,7,Inbound,13426,19.4,ontime or early,3,0,9,194,4
2019-07-23 19:21:07-07:00,0.6833333333333333,7,Inbound,14963,19.4,ontime or early,3,0,146,194,4
2019-07-23 19:18:45-07:00,-1.7,2,Outbound,16593,19.3,0-5 min late,1,1,400,193,3
2019-07-23 19:18:50-07:00,-1.6666666666666667,38,Outbound,14298,19.3,0-5 min late,2,1,98,193,3
2019-07-23 19:22:29-07:00,1.95,14,Inbound,15547,19.4,ontime or early,0,0,229,194,4
2019-07-23 19:23:51-07:00,3.3,7,Outbound,14940,19.4,ontime or early,3,1,129,194,4
2019-07-23 19:20:00-07:00,-0.6333333333333333,N,Outbound,16996,19.3,0-5 min late,5,1,429,193,3
2019-07-23 19:17:00-07:00,-3.783333333333333,M,Outbound,16991,19.3,0-5 min late,4,1,424,193,3
2019-07-23 19:19:33-07:00,-1.3333333333333333,14,Inbound,15542,19.3,0-5 min late,0,0,224,193,3
2019-07-23 19:18:42-07:00,-2.183333333333333,2,Inbound,14048,19.3,0-5 min late,1,0,60,193,3
2019-07-23 19:23:20-07:00,2.45,M,Inbound,15727,19.4,ontime or early,4,0,318,194,4
2019-07-23 19:22:26-07:00,1.5166666666666666,14,Inbound,17841,19.4,ontime or early,0,0,452,194,4
2019-07-23 19:22:15-07:00,1.2833333333333334,M,Inbound,16898,19.4,ontime or early,4,0,423,194,4
2019-07-23 19:16:00-07:00,-5.1,N,Outbound,15224,19.3,5-10 min late,5,1,181,193,2
2019-07-23 19:19:00-07:00,-2.1,N,Outbound,15199,19.3,0-5 min late,5,1,160,193,3
2019-07-23 19:24:59-07:00,3.8,7,Inbound,13425,19.4,ontime or early,3,0,8,194,4
2019-07-23 19:22:00-07:00,0.75,2,Inbound,16024,19.4,ontime or early,1,0,359,194,4
2019-07-23 19:24:00-07:00,2.433333333333333,2,Outbound,13892,19.4,ontime or early,1,1,41,194,4
2019-07-23 19:02:40-07:00,-19.816666666666666,M,Outbound,13376,19.0,10-20 min late,4,1,4,190,1
2019-07-23 19:14:33-07:00,-8.7,M,Outbound,16993,19.2,5-10 min late,4,1,426,192,2
2019-07-23 19:29:26-07:00,-0.6333333333333333,14,Outbound,15590,19.5,0-5 min late,0,1,259,195,3
2019-07-23 19:29:02-07:00,-1.0333333333333334,7,Inbound,14961,19.5,0-5 min late,3,0,144,195,3
2019-07-23 19:29:49-07:00,-0.2833333333333333,N,Outbound,13914,19.5,0-5 min late,5,1,49,195,3
2019-07-23 19:26:35-07:00,-3.533333333333333,38,Outbound,14265,19.4,0-5 min late,2,1,71,194,3
2019-07-23 19:29:34-07:00,-0.5833333333333334,38,Inbound,14272,19.5,0-5 min late,2,0,78,195,3
2019-07-23 19:35:02-07:00,4.883333333333334,7,Inbound,14720,19.6,ontime or early,3,0,113,196,4
2019-07-23 19:07:56-07:00,-22.216666666666665,M,Outbound,13716,19.1,more than 20 min late,4,1,32,191,0
2019-07-23 19:30:08-07:00,-0.11666666666666667,38,Outbound,14301,19.5,0-5 min late,2,1,100,195,3
2019-07-23 19:29:29-07:00,-0.7833333333333333,38,Outbound,14303,19.5,0-5 min late,2,1,102,195,3
2019-07-23 19:25:06-07:00,-5.183333333333334,N,Inbound,15124,19.4,5-10 min late,5,0,153,194,2
2019-07-23 19:30:15-07:00,-0.06666666666666667,N,Outbound,15237,19.5,0-5 min late,5,1,184,195,3
2019-07-23 19:21:48-07:00,-8.55,7,Outbound,15741,19.4,5-10 min late,3,1,322,194,2
2019-07-23 19:28:27-07:00,-1.95,2,Outbound,16098,19.5,0-5 min late,1,1,361,195,3
2019-07-23 19:32:57-07:00,2.533333333333333,14,Inbound,15613,19.5,ontime or early,0,0,278,195,4
2019-07-23 19:30:57-07:00,0.5333333333333333,7,Inbound,15752,19.5,ontime or early,3,0,330,195,4
2019-07-23 19:27:34-07:00,-2.933333333333333,14,Inbound,15531,19.4,0-5 min late,0,0,213,194,3
2019-07-23 19:31:00-07:00,0.45,14,Outbound,15552,19.5,ontime or early,0,1,232,195,4
2019-07-23 19:23:24-07:00,-7.166666666666667,14,Outbound,15616,19.4,5-10 min late,0,1,281,194,2
2019-07-23 19:29:48-07:00,-0.7833333333333333,M,Inbound,16220,19.5,0-5 min late,4,0,373,195,3
2019-07-23 19:29:00-07:00,-1.6333333333333333,14,Inbound,15593,19.5,0-5 min late,0,0,262,195,3
2019-07-23 19:32:41-07:00,2.0166666666666666,2,Outbound,17019,19.5,ontime or early,1,1,432,195,4
2019-07-23 19:33:32-07:00,2.8333333333333335,7,Outbound,15296,19.6,ontime or early,3,1,188,196,4
2019-07-23 19:25:26-07:00,-5.283333333333333,38,Inbound,14288,19.4,5-10 min late,2,0,90,194,2
2019-07-23 19:29:58-07:00,-0.8,N,Inbound,15210,19.5,0-5 min late,5,0,171,195,3
2019-07-23 19:23:11-07:00,-7.583333333333333,N,Outbound,15118,19.4,5-10 min late,5,1,147,194,2
2019-07-23 19:34:53-07:00,4.1,7,Outbound,15745,19.6,ontime or early,3,1,325,196,4
2019-07-23 19:29:00-07:00,-1.8166666666666667,38,Inbound,15817,19.5,0-5 min late,2,0,346,195,3
2019-07-23 19:32:34-07:00,1.75,N,Inbound,15194,19.5,ontime or early,5,0,155,195,4
2019-07-23 19:26:54-07:00,-3.95,2,Inbound,13876,19.4,0-5 min late,1,0,40,194,3
2019-07-23 19:30:33-07:00,-0.3333333333333333,2,Outbound,15669,19.5,0-5 min late,1,1,305,195,3
2019-07-23 19:30:15-07:00,-0.75,M,Inbound,16224,19.5,0-5 min late,4,0,375,195,3
2019-07-23 19:09:00-07:00,-22.116666666666667,M,Outbound,13719,19.2,more than 20 min late,4,1,35,192,0
2019-07-23 19:28:00-07:00,-3.8,2,Inbound,13893,19.5,0-5 min late,1,0,42,195,3
2019-07-23 19:33:59-07:00,1.7166666666666666,2,Inbound,15638,19.6,ontime or early,1,0,291,196,4
2019-07-23 19:17:00-07:00,-15.3,M,Outbound,16739,19.3,10-20 min late,4,1,421,193,1
2019-07-23 19:31:40-07:00,-0.8666666666666667,M,Inbound,16225,19.5,0-5 min late,4,0,376,195,3
2019-07-23 19:41:59-07:00,1.95,38,Inbound,14294,19.7,ontime or early,2,0,96,197,4
2019-07-23 19:41:35-07:00,1.55,7,Outbound,14941,19.7,ontime or early,3,1,130,197,4
2019-07-23 19:40:34-07:00,0.5333333333333333,N,Inbound,15194,19.7,ontime or early,5,0,155,197,4
2019-07-23 19:40:23-07:00,0.25,N,Outbound,15198,19.7,ontime or early,5,1,159,197,4
2019-07-23 19:41:00-07:00,0.85,38,Outbound,14757,19.7,ontime or early,2,1,117,197,4
2019-07-23 19:39:54-07:00,-0.26666666666666666,2,Outbound,16612,19.6,0-5 min late,1,1,419,196,3
2019-07-23 19:39:29-07:00,-0.6833333333333333,38,Inbound,14258,19.6,0-5 min late,2,0,64,196,3
2019-07-23 19:37:06-07:00,-3.066666666666667,N,Inbound,15124,19.6,0-5 min late,5,0,153,196,3
2019-07-23 19:35:31-07:00,-4.666666666666667,38,Outbound,13566,19.6,0-5 min late,2,1,26,196,3
2019-07-23 19:42:15-07:00,2.05,14,Outbound,15626,19.7,ontime or early,0,1,288,197,4
2019-07-23 19:38:01-07:00,-2.2333333333333334,7,Inbound,15652,19.6,0-5 min late,3,0,300,196,3
2019-07-23 19:41:00-07:00,0.7333333333333333,38,Inbound,15641,19.7,ontime or early,2,0,293,197,4
2019-07-23 19:42:00-07:00,1.7333333333333334,7,Inbound,17186,19.7,ontime or early,3,0,440,197,4
2019-07-23 19:40:36-07:00,0.3,14,Outbound,15619,19.7,ontime or early,0,1,282,197,4
2019-07-23 19:34:00-07:00,-6.35,2,Outbound,16591,19.6,5-10 min late,1,1,398,196,2
2019-07-23 19:42:07-07:00,1.7666666666666666,38,Outbound,14255,19.7,ontime or early,2,1,61,197,4
2019-07-23 19:24:33-07:00,-15.816666666666666,M,Outbound,13403,19.4,10-20 min late,4,1,7,194,1
2019-07-23 19:41:48-07:00,1.3833333333333333,14,Inbound,15542,19.7,ontime or early,0,0,224,197,4
2019-07-23 19:39:22-07:00,-1.1,14,Inbound,15613,19.6,0-5 min late,0,0,278,196,3
2019-07-23 19:41:52-07:00,1.4,M,Outbound,16998,19.7,ontime or early,4,1,431,197,4
2019-07-23 19:39:00-07:00,-1.4833333333333334,N,Inbound,14506,19.6,0-5 min late,5,0,107,196,3
2019-07-23 19:40:23-07:00,-0.16666666666666666,14,Outbound,15580,19.7,0-5 min late,0,1,251,197,3
2019-07-23 19:39:42-07:00,-0.8666666666666667,14,Inbound,15595,19.6,0-5 min late,0,0,264,196,3
2019-07-23 19:42:56-07:00,2.35,7,Outbound,15296,19.7,ontime or early,3,1,188,197,4
2019-07-23 19:39:00-07:00,-1.8333333333333333,N,Outbound,17217,19.6,0-5 min late,5,1,441,196,3
2019-07-23 19:42:42-07:00,1.8166666666666667,7,Inbound,15307,19.7,ontime or early,3,0,199,197,4
2019-07-23 19:30:00-07:00,-10.916666666666666,M,Outbound,16503,19.5,10-20 min late,4,1,391,195,1
2019-07-23 19:41:01-07:00,0.05,7,Outbound,15678,19.7,ontime or early,3,1,308,197,4
2019-07-23 19:40:46-07:00,-0.23333333333333334,2,Outbound,16595,19.7,0-5 min late,1,1,402,197,3
2019-07-23 19:34:21-07:00,-6.916666666666667,N,Outbound,15202,19.6,5-10 min late,5,1,163,196,2
2019-07-23 19:35:33-07:00,-5.733333333333333,2,Inbound,16588,19.6,5-10 min late,1,0,395,196,2
2019-07-23 19:38:39-07:00,-2.65,M,Inbound,15730,19.6,0-5 min late,4,0,320,196,3
2019-07-23 19:39:16-07:00,-2.05,M,Inbound,15731,19.6,0-5 min late,4,0,321,196,3
2019-07-23 19:36:06-07:00,-5.666666666666667,2,Inbound,16600,19.6,5-10 min late,1,0,407,196,2
2019-07-23 19:36:57-07:00,-5.783333333333333,2,Inbound,16018,19.6,5-10 min late,1,0,353,196,2
2019-07-23 19:41:00-07:00,-2.566666666666667,M,Inbound,16992,19.7,0-5 min late,4,0,425,197,3
2019-07-23 19:51:28-07:00,1.4166666666666667,38,Outbound,14257,19.8,ontime or early,2,1,63,198,4
2019-07-23 19:52:49-07:00,2.7666666666666666,7,Outbound,13446,19.9,ontime or early,3,1,20,199,4
2019-07-23 19:50:29-07:00,0.43333333333333335,N,Outbound,15213,19.8,ontime or early,5,1,174,198,4
2019-07-23 19:49:00-07:00,-1.0666666666666667,14,Inbound,15620,19.8,0-5 min late,0,0,283,198,3
2019-07-23 19:52:08-07:00,2.05,38,Inbound,15814,19.9,ontime or early,2,0,345,199,4
2019-07-23 19:48:08-07:00,-1.95,N,Outbound,15193,19.8,0-5 min late,5,1,154,198,3
2019-07-23 19:51:00-07:00,0.8666666666666667,14,Outbound,15545,19.8,ontime or early,0,1,227,198,4
2019-07-23 19:41:51-07:00,-8.283333333333333,2,Inbound,16016,19.7,5-10 min late,1,0,351,197,2
2019-07-23 19:49:48-07:00,-0.35,14,Inbound,15542,19.8,0-5 min late,0,0,224,198,3
2019-07-23 19:49:31-07:00,-0.6333333333333333,38,Outbound,14298,19.8,0-5 min late,2,1,98,198,3
2019-07-23 19:54:00-07:00,3.85,N,Inbound,15200,19.9,ontime or early,5,0,161,199,4
2019-07-23 19:49:44-07:00,-0.43333333333333335,38,Outbound,16109,19.8,0-5 min late,2,1,362,198,3
2019-07-23 19:54:01-07:00,3.816666666666667,7,Inbound,15652,19.9,ontime or early,3,0,300,199,4
2019-07-23 19:42:04-07:00,-8.166666666666666,N,Inbound,15234,19.7,5-10 min late,5,0,183,197,2
2019-07-23 19:42:04-07:00,-8.166666666666666,N,Inbound,15234,19.7,5-10 min late,5,0,183,197,2
2019-07-23 19:49:42-07:00,-0.5666666666666667,M,Inbound,16257,19.8,0-5 min late,4,0,378,198,3
2019-07-23 19:51:50-07:00,1.55,14,Inbound,15575,19.8,ontime or early,0,0,247,198,4
2019-07-23 19:46:00-07:00,-4.283333333333333,38,Inbound,15817,19.8,0-5 min late,2,0,346,198,3
2019-07-23 19:49:10-07:00,-1.1333333333333333,14,Outbound,15529,19.8,0-5 min late,0,1,211,198,3
2019-07-23 19:49:31-07:00,-0.7833333333333333,M,Inbound,15417,19.8,0-5 min late,4,0,207,198,3
2019-07-23 19:50:42-07:00,0.31666666666666665,N,Outbound,15121,19.8,ontime or early,5,1,150,198,4
2019-07-23 19:43:46-07:00,-6.633333333333334,2,Outbound,13852,19.7,5-10 min late,1,1,37,197,2
2019-07-23 19:47:39-07:00,-2.8,7,Inbound,15756,19.8,0-5 min late,3,0,334,198,3
2019-07-23 19:50:00-07:00,-0.4666666666666667,2,Outbound,16591,19.8,0-5 min late,1,1,398,198,3
2019-07-23 19:54:46-07:00,4.216666666666667,14,Outbound,15580,19.9,ontime or early,0,1,251,199,4
2019-07-23 19:55:00-07:00,4.333333333333333,38,Inbound,17953,19.9,ontime or early,2,0,456,199,4
2019-07-23 19:53:33-07:00,2.85,7,Outbound,13447,19.9,ontime or early,3,1,21,199,4
2019-07-23 19:47:28-07:00,-3.25,M,Outbound,16994,19.8,0-5 min late,4,1,427,198,3
2019-07-23 19:42:34-07:00,-8.183333333333334,2,Inbound,16126,19.7,5-10 min late,1,0,365,197,2
2019-07-23 19:39:38-07:00,-11.116666666666667,M,Outbound,13387,19.6,10-20 min late,4,1,6,196,1
2019-07-23 19:52:07-07:00,1.3166666666666667,7,Inbound,14963,19.9,ontime or early,3,0,146,199,4
2019-07-23 19:51:57-07:00,1.0166666666666666,2,Outbound,16596,19.8,ontime or early,1,1,403,198,4
2019-07-23 19:52:00-07:00,0.9666666666666667,7,Outbound,15696,19.9,ontime or early,3,1,316,199,4
2019-07-23 19:32:52-07:00,-18.45,M,Outbound,16175,19.5,10-20 min late,4,1,371,195,1
2019-07-23 19:43:24-07:00,-7.983333333333333,2,Inbound,16017,19.7,5-10 min late,1,0,352,197,2
2019-07-23 19:51:00-07:00,-0.7,M,Inbound,13718,19.8,0-5 min late,4,0,34,198,3
2019-07-23 20:00:00-07:00,-0.03333333333333333,14,Outbound,15602,20.0,0-5 min late,0,1,271,200,3
2019-07-23 19:57:26-07:00,-2.65,14,Inbound,17841,20.0,0-5 min late,0,0,452,200,3
2019-07-23 19:58:15-07:00,-1.8333333333333333,14,Outbound,15626,20.0,0-5 min late,0,1,288,200,3
